product_code,product_name,category_name,subcat_name,description,brand_name,unit_type,purchase_cost,sell_price,min_stock
8.90153E+12,loreal paris,shampoo,loreal,\N,\N,Piece,750,1050,1
8.9923E+12,loreal paris 450ml,shampoo,loreal,\N,\N,Piece,380,570,2
6.12357E+12,fair & lovely 50 gm,cosmetics,fair & lovely,\N,\N,Piece,118,129.8,2
8.90103E+12,Clinic Plus 340 ml,shampoo,Clinic Plus,\N,\N,Piece,300,420,1
8.90103E+12,Clinic Plus 175 ml,shampoo,Clinic Plus s,\N,\N,Piece,155,255,2
8.90131E+12,Colgate Plax 100 ml,Mouth Wash,Colgate Plax,\N,\N,Piece,80,100,1
8.90131E+12,Colgate Plax 250 ml,Mouth Wash,Colgate Plax,\N,\N,Piece,160,184,1
8.90601E+12,KIWI LINK,Shoe Link,Kiwi link,\N,\N,Piece,100,120,1
8.90153E+12,Garnier Color Red 40 g,Hair colour,Garnier Color,\N,\N,Piece,260,364,2
8.90157E+12,Sensodyne,Pest,Sensodyne,\N,\N,Piece,155,195,1
8.90131E+12,Colgate Zigzag,Toothbrush,Zigzag,\N,\N,Piece,35,50,1
8.90131E+12,Colgate Slimsoft,Toothbrush,Slim Soft,\N,\N,Piece,85,119,1
8.90103E+12,Ponds Sandal 300 g,powder,Ponds sandal,\N,\N,Piece,270,378,1
8.90103E+12,Ponds Sandal 100 g,powder,Ponds sandal,\N,\N,Piece,110,143,1
8.90103E+12,Ponds Dreamflower 100 g,powder,Ponds Dreamfiower s,\N,\N,Piece,110,160,1
8.908E+12,WhiteTone 30g,powder,Whit tone,\N,\N,Piece,70,110,1
8.908E+12,WhiteTone 50g,powder,Whit tone,\N,\N,Piece,105,150,1
8.90109E+12,Livon oil 100 ml,Hair Oil,Livon oil,\N,\N,Piece,290,435,1
8.90145E+12,Envy1000,Body Spray,Envy1000,\N,\N,Piece,180,234,1
8.90103E+12,Lakme eyeconin,Kajal,eyeconic,\N,\N,Piece,210,350,1
6.94654E+12,Colossal,Kajal,Colossal,\N,\N,Piece,180,300,1
8.90114E+12,Himalaya Neem Facewash 100 ml,Facewash,Himalaya,\N,\N,Piece,162,250,1
8.90114E+12,Himalaya Neem Facewash 50 ml,Facewash,Himalaya,\N,\N,Piece,78,110,1
8.908E+12,FOGG MONARCH,Body Spray,FOGG,\N,\N,Piece,210,330,2
8.908E+12,fogg black ,Body Spray,FOGG,\N,\N,Piece,270,335,1
8.90601E+12,keo karpin oil 300ml,Hair Oil,keo karpin,\N,\N,Piece,195,280,1
7.70202E+12,Gillette Gel 200 ml,Saving Cream,Gillette Gel,\N,\N,Piece,212,301.04,1
8.85193E+12,Dove Conditioner,Conditioner,Dove Conditioner,\N,\N,Piece,250,250,1
79400206596,Dove Conditioner,Conditioner,Dove Conditioner,\N,\N,Piece,360,486,1
6.9493E+12,Max Touch 2040,Make Up,Max Touch 2040,\N,\N,Piece,7700,10780,1
6.93537E+12,Eyeshadow Kit,Make Up,Eye Shadow,\N,\N,Piece,140,280,1
6.95874E+12,Kiss Touh Eyeshadow,Make Up,Eye Shadow,\N,\N,Piece,115,230,1
41065502016,Jordana Eyeliner,Make Up,Jordana Eyeliner,\N,\N,Piece,50,150,2
