Hig777340,Moon Light,Highlighter,,,PASTEL,pcs,348,435,1
Hig777341,Moonlight highlighter,Highlighter,,,PASTEL,pcs,348,435,1
Ro777343,Roll-On,Rolon,,,PASTEL,pcs,272,340,1
M777344,Mascara,maskara ,,,PASTEL,pcs,540,675,1
M777345,Mascara,maskara ,,,PASTEL,pcs,540,675,1
N777346,Nude Nail Polish,NALPOLIS ,,,PASTEL,pcs,200,250,1
N777347,Nail polish ,NALPOLIS ,,,PASTEL,pcs,160,200,1
Li777348,Lipliner Long Lasting,LIpliner,,,PASTEL,pcs,192,240,1
D777349,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1
E777350,Matte Eyeliner,Eyeliner ,,,PASTEL,pcs,460,575,1
Li777351,Matte Lipstick,Lipestic ,,,PASTEL,pcs,376,470,1
Li777352,Day Long Lipcolor,Lipestic ,,,PASTEL,pcs,660,825,1
N777353,Nude Nail Polish,NALPOLIS ,,,PASTEL,pcs,200,250,1
N777354,Nail polish ,NALPOLIS ,,,PASTEL,pcs,160,200,1
BS777355,Body Spray,BODY SPRAY,,,PASTEL,pcs,272,340,1
E777356,Eyeliner,Eyeliner ,,,PASTEL,pcs,460,575,1
Hig777357,Sun Light Highligter,Highlighter,,,PASTEL,pcs,348,435,1
M U777358,Mattifying Primer,Make -Up,,,PASTEL,pcs,540,675,1
D777359,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1
B O777360,Blush-On Pro Fashion,Blush -on,,,PASTEL,pcs,1040,1300,1
ESH777362,Eye shadow,EYE SHADOW,,,PASTEL,pcs,480,600,1
ESH777363,Nude Eye Shadow,EYE SHADOW,,,PASTEL,pcs,880,1100,1
Hig777364,Moon LIght Highlighter,Highlighter,,,PASTEL,pcs,348,435,1
FO777365,Dream Foundation,Foundation ,,,PASTEL,pcs,515,645,1
LIp777366,Lip Liner Long Lasting,LIpliner,,,PASTEL,pcs,192,240,1
E777367,Eyeliner,Eyeliner ,,,PASTEL,pcs,192,240,1
Li777368,Nude matte Lipestic,Lipestic ,,,PASTEL,pcs,376,470,1
P777369,Compact Powder,POWDER,,,PASTEL,pcs,440,550,1
Li777370,Coverstick Lipestic,Lipestic ,,,PASTEL,pcs,500,625,1
M777371,Eyebrow Mascara,maskara ,,,PASTEL,pcs,300,375,1
B O777372,Blush-On Pro Fashion,Blush -on,,,PASTEL,pcs,450,565,1
EP777373,Eye Pancil,Eye Pancil,,,PASTEL,pcs,480,600,1
E B P777374,Eyebrow pancil,Eye Brow Pancil,,,PASTEL,pcs,300,375,1
Co777375,Liquid concealer,Concealer,,,PASTEL,pcs,500,625,1
Hig777376,Coverstick Highlighter,Highlighter,,,PASTEL,pcs,372,465,1
P777377,Wet & Dry Powder,POWDER,,,PASTEL,pcs,1040,1300,1
ESH777378,Nude Eye Shadow,EYE SHADOW,,,PASTEL,pcs,880,1100,1
M777379,Mascara,maskara ,,,PASTEL,pcs,540,675,1
Li777380,Nude Matte Lipstick,Lipestic ,,,PASTEL,pcs,376,470,1
N777381,Nail polish ,NALPOLIS ,,,PASTEL,pcs,160,200,1
E777382,Liquid Eyeliner,Eyeliner ,,,PASTEL,pcs,400,500,1
D777383,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1
M U777384,Mattifying Primer,Make -Up,,,PASTEL,pcs,540,675,1
Hig777385,Sun Light Highligter,Highlighter,,,PASTEL,pcs,348,435,1
E777386,Matte Eyeliner,Eyeliner ,,,PASTEL,pcs,460,575,1
N777387,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1
E777388,Matte Eyeliner,Eyeliner ,,,PASTEL,pcs,460,575,1
EP777389,Eye Pencil,Eye Pancil,,,PASTEL,pcs,480,600,1
LIp777390,Lipliner Long Lasting,LIpliner,,,PASTEL,pcs,192,240,1
PERFUME777391,Snob Black Perfume,PERFUME,,,PASTEL,pcs,1590,1910,1
Ro777392,Roll-on,Rolon,,,PASTEL,pcs,272,340,1
PERFUME777393,Snob Classic Perfume,PERFUME,,,PASTEL,pcs,1880,2350,1
EP777394,Artliner Pen,Eye Pancil,,,PASTEL,pcs,540,675,1
Ro777395,Snob Roll-on,Rolon,,,PASTEL,pcs,272,340,1
BS777396,Body Spray,BODY SPRAY,,,PASTEL,pcs,272,340,1
M777397,Mascara ,maskara ,,,PASTEL,pcs,540,675,1
M U777398,Mattifying Primer,Make -Up,,,PASTEL,pcs,540,675,1
D777399,Waterprof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1
Li777400,Nude Matte Lipstick,Lipestic ,,,PASTEL,pcs,376,470,1
Li777401,Lipstick,Lipestic ,,,PASTEL,pcs,500,625,1
E777402,Matte Black Eyeliner,Eyeliner ,,,PASTEL,pcs,460,575,1
1.12E+11,Eyebrow Pencil,Eyebrow Dou,,,PASTEL,pcs,300,375,1
LIp777404,Lipliner Long Lasting,LIpliner,,,PASTEL,pcs,192,240,1
P777405,Fixing Powder,POWDER,,,PASTEL,pcs,548,685,1
P777406,Wet & Dry Powder,POWDER,,,PASTEL,pcs,1040,1300,1
BS777407,Snob Body Spray,BODY SPRAY,,,PASTEL,pcs,272,340,1
M U777408,Mattifying Primer,Make -Up,,,PASTEL,pcs,540,675,1
ESH777409,Eye shadow,EYE SHADOW,,,PASTEL,pcs,1040,1300,1
Ro777410,Snob Roll-on,Rolon,,,PASTEL,pcs,272,340,1
Li777412,Matte Lipstick,Lipestic ,,,PASTEL,pcs,376,470,1
P777413,Fixing Powder,POWDER,,,PASTEL,pcs,548,685,1
Li777414,Lipstick Classic,Lipestic ,,,PASTEL,pcs,300,375,1
Li777415,Nude Lipstick,Lipestic ,,,PASTEL,pcs,360,450,1
FO777416,Silky Dream Foundation,Foundation ,,,PASTEL,pcs,515,645,1
M777417,Waterrof Volume Mascara,maskara ,,,PASTEL,pcs,624,780,1
D777418,Waterprof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1
N777419,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1
LIp777420,Lipliner Long Lasting,LIpliner,,,PASTEL,pcs,192,240,1
Li777421,Day Long Lipcolor,Lipestic ,,,PASTEL,pcs,660,825,1
M777422,Mascara ,maskara ,,,PASTEL,pcs,450,565,1
Hig777423,Stardust Highlighter,Highlighter,,,PASTEL,pcs,376,470,1
Hig777424,Sun Light Highlighter,Highlighter,,,PASTEL,pcs,348,435,1
PERFUME6848914009,Fogg Perfume,PERFUME,,,FOGG,pcs,532,645,1
BS6848914010,Fogg Body Spray,BODY SPRAY,,,FOGG,pcs,205,265,1
