product_code,product_name,cat_name,subcat_name,description,brand_name,unit_name,buy_price,sell_price,min_stock
8941100617526,Lux 150 gm,Ditergent ,,,unilever LTD,PCS,36,40,
8941100617861,Lux 100gm,Ditergent ,,,unilever LTD,PCS,21,25,
8941100617878,Lux 100gm.,Ditergent ,,,unilever LTD,PCS,21,25,
8941100617571,Lux 75 gm,Ditergent ,,,unilever LTD,PCS,20,22,
8941100500163,Meril Splash ,Ditergent ,,,Square Ltd,PCS,25.67,28,
8941100500187,Meril Splash (cucuamba),soap,,,Square Ltd,PCS,25.67,30,
5013965825965,Camay ,soap,,,Other Brand ,PCS,65,90,
8941100617779,Life Buoy ( 100G) ,soap,,,unilever LTD,PCS,20.004,22,
8941100617786,Life Buoy Lemon ( 100G),soap,,,unilever LTD,PCS,20,22,
8513696110257,Ice cool ,soap,,,Tibet ,PCS,20,25,
8901023008689,Fair glow ,soap,,,Godrej,PCS,45,60,
8513692165305,Sandilina 100g ,soap,,,Tibet ,PCS,24,30,
8941100283196,Dettol ( skin care) ,soap,,,Reckit Benkitser,PCS,45.5,50,
8941100283202,Dettol ( Orginal ),soap,,,Reckit Benkitser,PCS,45.5,50,
8941100283189,Dettol ( cool ),soap,,,Reckit Benkitser,PCS,45.5,50,
8139003001027,Savlon Mild 100gm,soap,,,ACI,PCS,35.53,42,
67238891183,Dove ,soap,,,unilever LTD,PCS,65.75,80,
8000700000005,Dove Beauty ( 100g) ,soap,,,unilever LTD,PCS,65.75,75,
8717163616468,dove  Beauty (135g) ,soap,,,unilever LTD,PCS,65,80,
8901725937638,Vivel ,soap,,,Other Brand ,PCS,75,90,
8941100611333,Lux sandal (125g) ,soap,,,unilever LTD,PCS,38,45,
8941189100094,Finlay green tea ( loose) ,Tea,,,Finlays ,PCS,65,75,
8941189100087,Finlay green tea ( teabag ),Tea,,,Finlays ,PCS,80,90,
8941133000647,Ginger tea ,Tea,,,KK tea ,PCS,137,150,
8941100649152,Lifebuoy soap care 100gm,soap,,,unilever LTD,PCS,23.92,26,
882017723928,Seylon Tea bag ,Tea,,,Abul khair group Ltd ,PCS,70,80,
8991102100816,Formula 120g,Tooth paste,,,Smart Distribution ,PCS,80,100,
8991102100458,Formula 75g,Tooth paste,,,Smart Distribution ,PCS,80,100,
8941100614358,Closleup 100g,Tooth paste,,,unilever LTD,PCS,60,68,
859875003049,Madiplus DS 90g ,Tooth paste,,,Anfords ,PCS,76.666,90,
8901314114426,Colgate Maxfresh,Tooth paste,,,ACI,PCS,115,130,
