product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"6953743340237","Miss Rose CC cream","Make Up","CC cream",\N,\N,"Piece","150","285"
"4064900130140","Nior Sharpner katar","Make Up","Sharpner",\N,\N,"Piece","100","140"
"8858946286239","Mac Mashkara","Make Up","Mashkara",\N,\N,"Piece","140","325"
"8994706028258","President 1075 20\"","Travel Bag","President",\N,\N,"Piece","2800","3100"
"8994706026230","President 889 24\"","Travel Bag","President",\N,\N,"Piece","3200","3700.48"
"8994706026209","President 889 20\"","Travel Bag","President",\N,\N,"Piece","2500","3000"
"8994706027923","President 1017 26\"","Travel Bag","President",\N,\N,"Piece","3900","4500"
"8994706027893","President 1017 22\"","Travel Bag","President",\N,\N,"Piece","3200","3900"
"8994706027862","President 1017 18\"","Travel Bag","President",\N,\N,"Piece","2600","3120"
"0000810","Trolly Bag","Travel Bag","President",\N,\N,"Piece","1200","1920"
"8994706028760","President 9117 28\"","Travel Bag","President",\N,\N,"Piece","5300","6500"
"8994706028739","President 8952 24\"","Travel Bag","President",\N,\N,"Piece","4900","5904.5"
"8994706028708","President 8952 20\"","Travel Bag","President",\N,\N,"Piece","3800","4600"
"8994706028302","President 1075 28\"","Travel Bag","President",\N,\N,"Piece","3700","4300.14"
"8994706031364","President 9071 28\"","Travel Bag","President",\N,\N,"Piece","6200","7500.02"
"8994706031340","President 9071 24\"","Travel Bag","President",\N,\N,"Piece","5400","6500.04"
"8994706031326","President 9071 18\"","Travel Bag","President",\N,\N,"Piece","4400","5200"
"8994706027992","President 899 28\"","Travel Bag","President",\N,\N,"Piece","3900","4500.6"
"8994706027961","President 899 24\"","Travel Bag","President",\N,\N,"Piece","3400","4012"
"8994706026261","President purple 889 28\"","Travel Bag","President",\N,\N,"Piece","3700","4303.1"
"8994706028487","President 1068 28\"","Travel Bag","President",\N,\N,"Piece","3700","4300"
"8994706028456","President 1068 24\"","Travel Bag","President",\N,\N,"Piece","3200","3712"
"8994706028425","President 1068 20\"","Travel Bag","President",\N,\N,"Piece","2600","3120"
"8994706031289","President 9068 28\"","Travel Bag","President",\N,\N,"Piece","6000","7200"
"8994706031258","President 9068 24\"","Travel Bag","President",\N,\N,"Piece","5200","6300.32"
"8994706020146","President 8786 20\"","Travel Bag","President",\N,\N,"Piece","4000","4520"
"8994706020177","President 8786 24\"","Travel Bag","President",\N,\N,"Piece","5100","5712"
"0001775","President 1075 24\"","Travel Bag","President",\N,\N,"Piece","3400","3900"
"0001898","President8915 26\"","Travel Bag","President",\N,\N,"Piece","6000","6504"
"0002576","Baby Travel Bag","Travel Bag","President",\N,\N,"Piece","1700","2720"
"00001254","President 8782 28\"","Travel Bag","President",\N,\N,"Piece","5500","6500.01"
"8994706026292","President 28\" TT821","Travel Bag","President",\N,\N,"Piece","3700","4200.02"
"8994706035089","President 1802 26\"","Travel Bag","President",\N,\N,"Piece","5500","6700"
"8994706012837","President 8407 28\"","Travel Bag","President",\N,\N,"Piece","5100","6100.01"
"8994706012790","President 8407 24\"","Travel Bag","President",\N,\N,"Piece","4900","5900"
"8994706012813","President 8407 24\"","Travel Bag","President",\N,\N,\N,"5100","6100.01"
"8994706028968","President 1152 24\"","Travel Bag","President",\N,\N,"Piece","3500","4000.01"
"0003122","President 9156 22\"","Travel Bag","President",\N,\N,"Piece","5000","6000"
"0003123","President 9143 26\"","Travel Bag","President",\N,\N,"Piece","5000","6200"
"8994706029064","President 1115 26\"","Travel Bag","President",\N,\N,"Piece","4100","4700"
"8994706029217","president 1185 24\"","Travel Bag","President",\N,\N,"Piece","3700","4400.04"
"0003237","President 8983 24\"","Travel Bag","President",\N,\N,"Piece","4800","5800"
"0000821","Hair Band","Hair","Hair Band",\N,\N,"Piece","30","81"
"0001524","Hair band","Hair","Hair Band",\N,\N,\N,"0.8","4.8"
"0001525","Hair band","Hair","Hair Band",\N,\N,\N,"10","20"
"0001526","Hair band","Hair","Hair Band",\N,\N,\N,"5","9"
"0000815","Ator Blast","Ator","Ator",\N,\N,"Piece","60","100"
"0000822","Ator","Ator","Ator",\N,\N,"Piece","50","150"
"0000824","2in 1 Ator","Ator","Ator",\N,\N,"Piece","100","200"
"0000825","Ator Blast M","Ator","Ator",\N,\N,"Piece","75","150"
"0000826","Gucci B","Ator","Ator",\N,\N,"Piece","100","200"
"0000827","Ator Blast B","Ator","Ator",\N,\N,"Piece","100","200"
"0002119","Ator","Ator","Ator",\N,\N,"Piece","100","300"
"0002400","Ator","Ator","Ator",\N,\N,"Piece","35","50"
"8941183006026","Fay Pocket Tissue","Tissue","Tissue",\N,\N,"Piece","8.5","10.03"
"8941183002561","Fay Tissue Box","Tissue","Tissue",\N,\N,"Piece","60","70"
"8941183002530","Fay Tissue Box C","Tissue","Tissue",\N,\N,"Piece","43","50.31"
"8691762111565","Babyish Tussue M","Tissue","Tissue",\N,\N,"Piece","150","210"
"8691762111558","Babyish Tussue B","Tissue","Tissue",\N,\N,"Piece","250","350"
"8941191100174","Tissue Box","Tissue","Tissue",\N,\N,"Piece","50","62"
"0000823","Goree Cream","CREAM","Goree ",\N,\N,"Piece","125","250"
"0000832","Dove Body Lotion 400ml","Body lotion","Dove Body Lotion",\N,\N,"Piece","290","406"
"0000838","Denim","Body Spray","Denim",\N,\N,"Piece","160","240"
