product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"0000234","Hijab Clip","Hair Clip","saree",\N,\N,"Piece","24","42"
"0002392","Saruane panjabe","silk","saree",\N,\N,"Piece","2400","3120"
"6923992584270","super battery","betre","saree",\N,\N,"Piece","5","10"
"10008562012001","sony btter","sony","saree",\N,\N,"Piece","10","20"
"8855629363737","white spa lotion","cosmetics","loution",\N,\N,"Piece","140","210"
"8901030547492","axe signature","perfume","axe",\N,\N,"Piece","270","380.7"
"8901526102655","loreal paris","shampoo","loreal",\N,\N,\N,"750","1050"
"8992304035371","loreal paris 450ml","shampoo","loreal",\N,\N,\N,"380","570"
"8901030421402","tresemme 580ml","shampoo","tresemme",\N,\N,"Piece","580","750.06"
"8901030573200","tresemme smooth 200ml","shampoo","tresemme smooth and shine",\N,\N,"Piece","230","300.38"
"8901030573170","tresemme keratin","shampoo","tresemme keratin smooth",\N,\N,"Piece","155","300.24"
"8901030637353","fair & lovely 80gm","cosmetics","fair & lovely",\N,\N,"Piece","185","280"
"6123571030109","fair & lovely 50 gm","cosmetics","fair & lovely",\N,\N,\N,"118","129.8"
"8901030565328","fair & lovely 50 gm","cosmetics","fair & lovely",\N,\N,"Piece","118","170"
"8901030573484","Clinic Plus 340 ml","shampoo","Clinic Plus",\N,\N,\N,"300","420"
"0001659","Clean&Clear","shampoo","Clinic Plus",\N,\N,"Piece","195","195"
"8901030573460","Clinic Plus 175 ml","shampoo","Clinic Plus s",\N,\N,\N,"155","255"
"8901314077509","Colgate Plax 100 ml","Mouth Wash","Colgate Plax",\N,\N,\N,"80","100"
"8901314077981","Colgate Plax 250 ml","Mouth Wash","Colgate Plax",\N,\N,\N,"160","184"
"8906006432383","KIWI LINK","Shoe Link","Kiwi link",\N,\N,\N,"100","120"
"8906006432505","Kiwi Shoe Shine","Shoe Link","Kiwi link",\N,\N,"Piece","110","165"
"8901526212255","garnier color naturals","Hair colour","Garnier Color",\N,\N,"Piece","200","280"
"8901526204151","Garnier Color Red 40 g","Hair colour","Garnier Color",\N,\N,\N,"260","364"
"8901526204731","Garnier Colour naturals Black Small","Hair colour","Garnier Color",\N,\N,"Piece","100","150"
"8901526206377","Garnier Colour naturals Brown Small","Hair colour","Garnier Color",\N,\N,"Piece","95","130.15"
"8901526204458","Garnier Hair Color","Hair colour","Garnier Color",\N,\N,"Piece","205","330"
"8901571004096","Sensodyne","Pest","Sensodyne",\N,\N,\N,"155","195"
"0000294","Sensodyne","Pest","Sensodyne",\N,\N,"Piece","55","220"
"5000347022999","Sensodyne Pro Namel","Pest","Sensodyne",\N,\N,"Piece","390","480"
"8901571004614","Sensodyne Pest","Pest","Sensodyne",\N,\N,"Piece","155","195"
"8901314218605","Colgate Zigzag","Toothbrush","Zigzag",\N,\N,\N,"35","50"
"8901314306265","Colgate ZigZag","Toothbrush","Zigzag",\N,\N,"Piece","40","80"
"8901314116345","Colgate Slimsoft","Toothbrush","Slim Soft",\N,\N,\N,"85","119"
"8906014765978","Bajaj Oil 200 ml","Hair Oil","Bajaj Oil",\N,\N,"Piece","190","250"
"0000679","Bajaj Oil B","Hair Oil","Bajaj Oil",\N,\N,"Piece","220","250.14"
"8906014765961","Bajaj Oil S","Hair Oil","Bajaj Oil",\N,\N,"Piece","95","130"
"8901030450990","Ponds Sandal 300 g","powder","Ponds sandal",\N,\N,\N,"270","378"
"8901030450709","Ponds Sandal 100 g","powder","Ponds sandal",\N,\N,\N,"110","143"
