product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"0007527","Colours Set 90297","Necklace","Necklace Set",\N,\N,"Piece","1490","2390"
"0006830","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","600","1140"
"0007341","Nagra","Nagra","Nagra ",\N,\N,"Piece","350","560"
"0007342","Nagra","Nagra","Nagra ",\N,\N,\N,"450","700"
"0007343","Nagra","Nagra","Nagra ",\N,\N,"Piece","700","1120"
"0007479","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","630","1070"
"0007480","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","675","1215"
"0007481","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","570","1000"
"0007482","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","600","1110"
"0007483","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","710","1300"
"0007484","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","400","600"
"0007485","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","730","1350"
"0007486","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","620","1150"
"0007820","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","800","1440"
"0007821","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","750","1350"
"0007822","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","1200","1920"
"0007823","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","650","1170"
"0007824","Ladies shoe","Nagra","Nagra ",\N,\N,"Piece","550","1210"
"0007825","Nagra","Nagra","Nagra ",\N,\N,"Piece","550","1100"
"0007826","Man Nagra","Nagra","Nagra ",\N,\N,"Piece","625","1250"
"0007827","Man Nagra","Nagra","Nagra ",\N,\N,"Piece","650","1300"
"0007828","Man Nagra","Nagra","Nagra ",\N,\N,"Piece","600","1200"
"0007829","Man Nagra","Nagra","Nagra ",\N,\N,"Piece","500","1000"
"0007830","Man Nagra","Nagra","Nagra ",\N,\N,"Piece","200","400"
"0008570","lades nagra","Nagra","Nagra ",\N,\N,\N,"700","1260"
"0008571","lades nagra","Nagra","Nagra ",\N,\N,\N,"675","1280.01"
"0008573","lades nagra","Nagra","Nagra ",\N,\N,\N,"650","1300"
"0008574","lades nagra","Nagra","Nagra ",\N,\N,\N,"700","1400"
"0008575","lades nagra","Nagra","Nagra ",\N,\N,\N,"525","1050"
"0006812","rajshahi Silk Blouse","Katan Blouse Pis","Katan Blouse Pis",\N,\N,"Piece","200","380"
