product_code,product_name,category_name,subcat_name,description,brand_name,unit_type,purchase_cost,sell_price,min_stock
"8901030365874","Lakme F/P 20 g","Make Up","Lakme f/P",\N,\N,\N,"130","182","2"
"8901030230141","Lakme Absolute F/P 20 g","Make Up","Lakme Absolute f/P",\N,\N,\N,"120","180","2"
"0000154","Shiseido F/P","Make Up","SHISEILDO F/P",\N,\N,\N,"120","180","2"
"8690604400959","Florner F/P","Make Up","Flornar F/P",\N,\N,\N,"220","330","2"
"8690604085941","Florner Foundation","Make Up","Flornar Foundation",\N,\N,\N,"220","330","2"
"0000158","Jordana Eyeliner","Make Up","Jordana Eyeliner",\N,\N,\N,"50","150","1"
"0000159","Jordana Eyeliner","Make Up","Jordana Eyeliner",\N,\N,\N,"25","80","6"
"0000161","Jully Rose Lipgloss 12 ml","Make Up","Jully Rose Lipgloss",\N,\N,\N,"45","67.5","2"
"0000162","Jully Rose Lipgloss ","Make Up","Jully Rose Lipgloss",\N,\N,\N,"45","63","6"
"6923859111045","Ever Beauty Lipstick","Make Up","Ever Beauty Lipstick",\N,\N,\N,"50","70","6"
"0000165","Nail","Make Up","Nail",\N,\N,\N,"80","104","6"
"0000166","Sharpner","Make Up","Sharpner",\N,\N,\N,"40","50","6"
"836558005019","La Femme Lipstick","Make Up","La Femme Lipstick",\N,\N,\N,"125","175","6"
"6287001670959","La Femme F/P","Make Up","La Femme F/P",\N,\N,\N,"230","322","2"
"6927874802506","La Femme HD Foundation","Make Up","La Femme HD Foundation",\N,\N,\N,"270","540","2"
"0000171","Loreal 3 in 1","Make Up","Loreal 3 in 1",\N,\N,\N,"50","80","2"
"0000659","Nior Matte Lipstick","Make Up","Nior Matte Lipstick",\N,\N,\N,"35","290.01","6"
"6297482522012","Miss & Mrs Black","Make Up","Miss & Mrs",\N,\N,\N,"260","365","2"
"04079707","Nior Mascara","Make Up","Nior Mascara",\N,\N,\N,"240","320","2"
"0000175","Nior kajal","Make Up","Nior Eyeliner",\N,\N,\N,"30","90","2"
"6946038609959","Ever Beauty Zero Makup Remover","Make Up","Ever Beauty Zero ",\N,\N,\N,"150","210","2"
"6922965185100","Ever Beauty Eyeliner","Make Up","Ever Beauty Eyeliner",\N,\N,\N,"110","154","6"
"8901725950200","ENGAGE BODY SPARY ","Body Spray","Engage Body Spray",\N,\N,\N,"180","250.2","1"
"8908001158961","FOGG VICTOR","Body Spray","FOGG Victor",\N,\N,\N,"220","308","1"
"89005590","Gulabari 120 ml","Rose water","Dabur  Gulabari",\N,\N,\N,"90","135","2"
"8901725934019","Active Fair Healthy","Fairness Cream","Active fair",\N,\N,\N,"150","195","2"
"6985879612582","Nail","cosmetics","Nail",\N,\N,\N,"80","104","12"
"6903072258734","kiss beauty","Make Up","Kiss Beauty",\N,\N,\N,"550","770","1"
"6937926329127","ever Beauty Dimention","Make Up","Ever Beauty Dimention",\N,\N,\N,"850","1190","1"
"8901030585258","vaseline 100 ml","CREAM","vaseline",\N,\N,\N,"130","182","2"
"8901030023590","Vasline 480ml","CREAM","vaseline",\N,\N,\N,"450","630","2"
"0000189","Ladies Bracelate","juwellary","Ladies Bracelate",\N,\N,\N,"150","225","1"
"0001557","Ladics Brcelate","juwellary","Ladies Bracelate",\N,\N,\N,"125","200","10"
"0000191","Ladies Bracelate","juwellary","Ladies Bracelate",\N,\N,\N,"150","240","5"
"0000228","City Gold Bracelate","juwellary","Ladies Bracelate",\N,\N,\N,"95","152","1"
"0002594","City Gold Bracelate","juwellary","Ladies Bracelate",\N,\N,\N,"200","440","1"
"0000193","ring","juwellary","Bracelate",\N,\N,\N,"100","600","2"
"0000194","Ladies Bracelate","juwellary","Bracelate",\N,\N,\N,"85","127.5","2"
"0000612","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"500","750","1"
"0000614","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"280","476","1"
"0000615","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"300","510","1"
"0001831","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"90","180","2"
"0000613","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"400","640","1"
"0000641","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"300","480","1"
"0000196","City Gold Earing","juwellary","Earing",\N,\N,\N,"160","240","1"
"0000197","City Gold Earing","juwellary","Earing",\N,\N,\N,"105","157.5","2"
"0001741","City Gold Earing","juwellary","Earing",\N,\N,\N,"270","486","2"
"0001830","City Gold Earing","juwellary","Earing",\N,\N,\N,"400","840","1"
"0000200","City Gold Earing","juwellary","Earing",\N,\N,\N,"115","280","1"
"0000198","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"150","225","1"
"0000199","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"120","180","2"
"0000204","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"80","120","5"
"0000251","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"90","180","1"
"0000566","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"625","812.5","1"
"0001744","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"330","594","2"
"0001751","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"270","432","2"
"0001829","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"470","940","1"
"0000201","City Gold Earing","juwellary","Earing",\N,\N,\N,"80","220","1"
"0000203","City Gold Earing","juwellary","Earing",\N,\N,\N,"138","290","1"
"0000202","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"100","150","1"
"0000564","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"117","270","1"
"0001838","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"470","940","1"
"0001845","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"600","960","1"
"0001747","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"600","930","2"
"0001753","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"180","324","2"
"0001754","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"400","620","2"
"0001757","City Gold Earing","juwellary","City Gold Earing",\N,\N,\N,"210","336","2"
"0001828","Diamond Cut Earing","juwellary","City Gold Earing",\N,\N,\N,"140","250","1"
"0000213","Man Ring","juwellary","Parshwa Bracelate",\N,\N,\N,"40","150","1"
"0000220","Hijab Pin","juwellary","Hijab Clip",\N,\N,\N,"5","6","6"
"0001837","City Gold Ring","juwellary","Necklace",\N,\N,\N,"60","180","2"
"0000227","City Gold Ring","juwellary","City Gold Ring",\N,\N,\N,"60","105","10"
"0000232","Hair Stick","juwellary","Hair Stick",\N,\N,\N,"10","20","6"
"0000233","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"70","154","2"
"0000546","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"75","135","4"
"0000547","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"110","176","2"
"0000548","Hair Taj","juwellary","Noise Noth",\N,\N,\N,"135","216","2"
"0000634","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"150","270","5"
"0002722","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"50","100","1"
"0002723","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"90","180","1"
"0002724","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"150","285","1"
"0002725","Noise Noth","juwellary","Noise Noth",\N,\N,\N,"310","550","1"
"0000244","Hair Stone Taj","juwellary","Hair Stone Taj",\N,\N,\N,"125","200","4"
"0000250","Ladies Bracelate","juwellary","Bracelate",\N,\N,\N,"60","90","2"
"0000616","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"500","750","1"
"0000635","City Gold Bracelate","juwellary","Bracelate",\N,\N,\N,"300","480","6"
"0001804","Kta","juwellary","Pin Hair Clip",\N,\N,\N,"10","20","1"
"0000255","Hair Band","juwellary","Hair Band",\N,\N,\N,"60","90","2"
"0000257","Hair Band","juwellary","Hair Band",\N,\N,\N,"130","195","2"
"0000258","Diamond Ring","juwellary","Diamond Ring",\N,\N,\N,"38","76","10"
"0001819","Daymon Ring","juwellary","Diamond Ring",\N,\N,\N,"60","150","1"
"0001820","Damond Ring","juwellary","Diamond Ring",\N,\N,\N,"100","250","1"
"0000192","Ring","juwellary","Ring",\N,\N,\N,"125","375","1"
"0000259","Ladies Ring","juwellary","Ring",\N,\N,\N,"80","200","10"
"0000629","City Gold Ring","juwellary","Ring",\N,\N,\N,"200","280","1"
"0000630","City Gold Ring","juwellary","Ring",\N,\N,\N,"100","220","1"
"0000631","City Gold Ring","juwellary","Ring",\N,\N,\N,"80","240","1"
"0000632","City Gold Ring","juwellary","Ring",\N,\N,\N,"150","280","6"
"0000633","City Gold Ring","juwellary","Ring",\N,\N,\N,"110","385","1"
"0001806","Kanyr Dol","juwellary","Ring",\N,\N,\N,"110","265.1","1"
"0001808","City Gold Ring","juwellary","Ring",\N,\N,\N,"150","360","1"
"0001809","City Gold Ring","juwellary","Ring",\N,\N,\N,"150","300","1"
"0001810","Kanyr Dol","juwellary","Ring",\N,\N,\N,"50","150","1"
"0001812","Gold Ring","juwellary","Ring",\N,\N,\N,"120","300","1"
"0001813","City Gold Ring","juwellary","Ring",\N,\N,\N,"180","325","1"
"0001821","Diamond Ring","juwellary","Ring",\N,\N,\N,"180","360","1"
"0001823","Daymon Ring","juwellary","Ring",\N,\N,\N,"220","550","1"
"0001832","City Gold Ring","juwellary","Ring",\N,\N,\N,"50","150","3"
"0001833","City Gold Ring","juwellary","Ring",\N,\N,\N,"120","240","2"
"0001893","Damond Ring","juwellary","Ring",\N,\N,\N,"50","100","1"
"0001894","City Gold Ring","juwellary","Ring",\N,\N,\N,"60","240","2"
"0000260","Ever Beauty Mascara","Make Up","Ever Beauty Mascara",\N,\N,\N,"150","225","2"
"0000261","Ladies Purse","Ladies Purse","Purse",\N,\N,\N,"220","330","2"
"0000523","Ladies Purse","Ladies Purse","Purse",\N,\N,\N,"115","218.5","2"
"0000262","Susen Purse","Ladies Purse","Susen Purse",\N,\N,\N,"1500","2250","1"
"0000265","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"770","1450","1"
"0000268","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"850","1275","1"
"0000264","Ladies Purse","cosmetics","Purse",\N,\N,\N,"1300","1950","1"
"0000266","Ladies Purse","cosmetics","Purse",\N,\N,\N,"1100","1650","1"
"0000267","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"580","1100","1"
"0000275","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"120","198","1"
"0000276","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"115","189.75","1"
"0000271","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"115","184","1"
"0000273","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"530","1060","1"
"0000948","Fancy Purse","cosmetics","Ladies Purse",\N,\N,\N,"550","825","2"
"0000949","Fancy Purse","cosmetics","Ladies Purse",\N,\N,\N,"1200","1800","1"
"0000950","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"1100","1650","2"
"0000952","Ladies Purse","cosmetics","Ladies Purse",\N,\N,\N,"950","1425","1"
"0000951","Ladies Purse","cosmetics","Ladies Bag",\N,\N,\N,"1050","1575","1"
"0000274","Ladies Purse","cosmetics","Ladies Bag",\N,\N,\N,"120","198","1"
"0000955","Fancy Purse","cosmetics","Ladies Purse",\N,\N,\N,"650","1300","1"
"0000277","Wedding Pagri","Wedding Accessories","Pagri",\N,\N,\N,"280","504","1"
