product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"0002899","Baby Hair Clip","Hair Clip","Hair Clip",\N,\N,"Piece","15","25"
"0000221","Gold Plated Sitahar","Necklace","Necklace Set",\N,\N,"Piece","1125","2025"
"0000222","City Gold Sitahar","Necklace","Necklace Set",\N,\N,"Piece","800","1600"
"0000223","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","1080","1750"
"0000224","Gold Plated Sitahar","Necklace","Necklace Set",\N,\N,"Piece","750","1500"
"00006548","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","1600","2720"
"0000226","Sitahar Necklace","Necklace","Necklace Set",\N,\N,"Piece","1250","2250"
"0000245","City Gold Sitahar","Necklace","Necklace Set",\N,\N,"Piece","1275","2295"
"0000246","Kundan Necklace","Necklace","Necklace Set",\N,\N,"Piece","380","627"
"0000247","Gold Plated Sitahar","Necklace","Necklace Set",\N,\N,"Piece","1960","3430"
"0000248","Sitahar Gold Plate Necklace","Necklace","Necklace Set",\N,\N,"Piece","2250","4275"
"0000249","Gold Plate Necklace Set","Necklace","Necklace Set",\N,\N,"Piece","3750","6500.1"
"0000605","Gold Plated Bridal Set","Necklace","Necklace Set",\N,\N,"Piece","2810","5620"
"0000606","Kundun","Necklace","Necklace Set",\N,\N,"Piece","180","330"
"0000607","Gold Plated Necklace","Necklace","Necklace Set",\N,\N,"Piece","2650","3500.12"
"0000636","Gold Plated Bridal Set","Necklace","Necklace Set",\N,\N,"Piece","2910","6450"
"0000637","Gold Plate Necklace Set","Necklace","Necklace Set",\N,\N,\N,"1100","3080"
"0000638","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","3000","5400"
"0000639","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","2100","3780"
"0000640","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","3600","5760"
"0000642","Necklace Set","Necklace","Necklace Set",\N,\N,"Piece","360","576"
"0000643","Necklace Set","Necklace","Necklace Set",\N,\N,"Piece","150","255"
"0000644","Gold Plated Bridal Set","Necklace","Necklace Set",\N,\N,"Piece","2440","5250"
"0000645","City Gold Necklace","Necklace","Necklace Set",\N,\N,\N,"680","1360"
"0000646","Gold Plated Bridal Set","Necklace","Necklace Set",\N,\N,"Piece","3000","3000"
"0000647","Gold Plated Necklace","Necklace","Necklace Set",\N,\N,"Piece","2850","4275"
"0000648","City Gold Sitahar Necklace","Necklace","Necklace Set",\N,\N,"Piece","1950","2925"
"0000649","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","1050","2100"
"0000960","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","550","1210"
"0000961","kundan mala","Necklace","Necklace Set",\N,\N,"Piece","150","225"
"0000962","Kundon Mala","Necklace","Necklace Set",\N,\N,"Piece","230","500"
"0000963","kundan mala","Necklace","Necklace Set",\N,\N,"Piece","130","195"
"0000964","kundan mala","Necklace","Necklace Set",\N,\N,"Piece","320","480"
"0000965","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","500","750"
"0001046","Gold Plated Necklace","Necklace","Necklace Set",\N,\N,"Piece","2200","4070"
"0001048","Kundun Necklace","Necklace","Necklace Set",\N,\N,"Piece","730","1241"
"0001049","Kundon Mala","Necklace","Necklace Set",\N,\N,"Piece","220","440"
"0001058","Kundon Mala","Necklace","Necklace Set",\N,\N,"Piece","350","560"
"0001059","Kundon Mala","Necklace","Necklace Set",\N,\N,"Piece","330","660"
"0001060","Sitahar Necklace","Necklace","Necklace Set",\N,\N,"Piece","975","1755"
"0001061","Kundon Mala","Necklace","Necklace Set",\N,\N,\N,"180","360"
"0001518","Necklace Small","Necklace","Necklace Set",\N,\N,"Piece","180","250.2"
